Cluster,Test Number,Excitation,Mode Number,Appearance Count,Mode Shape
Cluster_44,3,S_V,2.0,23,"-0.07792, 0.830913, 0.31434, 0.055542, -0.918657, -0.480515, 0.021093, 1.0, -0.289043, -0.180984, 0.832909, -0.274443"
Cluster_37,3,N_H,2.0,14,"-0.065846, 0.928162, 0.331444, 0.000895, -0.687033, -0.490798, 0.066983, 1.0, -0.742603, 0.105086, 0.728815, -0.24747"
Cluster_22,3,S_V,1.0,14,"-0.690057, 0.970098, 0.283999, 0.742415, -0.995989, -0.419287, -0.795535, 1.0, -0.309258, -0.819093, 0.92901, -0.371494"
Cluster_29,3,S_V,2.0,15,"-0.081739, 1.0, 0.700092, 0.095322, -0.773754, -0.313912, -0.057038, 0.84104, -0.176017, -0.172473, 0.578076, -0.207976"
Cluster_77,3,N_H,1.0,13,"-0.019642, 0.959752, 0.395355, -0.017677, -0.629949, -0.480795, -0.048533, 1.0, -0.461661, -0.00773, 0.988836, -0.482855"
Cluster_11,2,S_H,2.0,14,"-0.022025, -0.849572, -0.445713, 0.078261, 0.701011, 0.54847, -0.180558, -1.0, 0.374207, -0.011422, -0.787515, 0.291119"
Cluster_40,2,M_V,2.0,15,"-0.201777, -0.626928, -0.167541, 0.37674, 0.612757, 0.504854, -0.618381, -0.855771, 1.0, -0.558941, -0.322588, -0.110663"
